EXERCICI_COMPTAB,AREA,SERVEI,PROGRAMA,CAPITOL,PARTIDA,DESCRIPCIO_PARTIDA,PRESSUPOST_DEFINITIU,LIQUIDACIO
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3461 33409   12103,RETRIB.ALTRES COMPLEMENTS P.FU,2701,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3461 33409   13000,RETRIB.BASIQ.PERS.LABORAL FIX ,16773,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3461 33409   13002,ALTRES REMUNER.PERS.LAB. FIX G,16477,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3461 33409   13099,PAGA EXTRA 2012 P.LABORAL GENT,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3461 33409   15000,PRODUCTIVITAT GENT GRAN,28843,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3461 33409   16000,QUOTES SEGURETAT SOCIAL GENT G,46603,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,13552,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,8773,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   12006,RETRIB.BASIQ.FUNC.TRIENNIS SUP,2141,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   12099,PAGA EXTRA 2012 FUNC.SUPORT A ,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   12100,RETRIB.COMPL.DESTI.P.FUNCI. SU,7609,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   12101,RETRIB.COMPLEMENT ESPECIF.P.FU,20427,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   12103,ALTRES COMPLEMENTS P.FUNC.SUPO,1919,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   15000,PRODUCTIVITAT SUPORT PROJ.D EN,9251,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33402   16000,QUOTES SEGURETAT SOCIAL SUPORT,15199,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,10381,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,8780,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,15975,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   12006,RETRIB.BASIQ.FUNC.TRIENNIS EMA,3655,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   12099,PAGA EXTRA 2012 FUNC.EMANCIPAC,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   12100,RETRIB.COMPL.DESTI.P.FUNCI. EM,14180,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   12101,RETRIB.COMPLEMENT ESPECIFIC P.,43674,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   12103,RETRIB. ALTRES COMPLEMENTS P.F,2885,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   13100,RETRIB.BASIQ.PERS.LAB.TEMPORAL,4171,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   15000,PRODUCTIVITAT EMANCIPACIÓ I FO,20300,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33403   16000,QUOTES SEGURETAT SOCIAL EMANCI,29961,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,13394,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,20697,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   12006,RETRIB.BASIQ.FUNC. TRIENNIS DI,5112,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   12099,PAGA EXTRA 2012 FUNC.DINAMITZA,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   12100,RETRIB.COMPL.DESTI.P.FUNCI. DI,12659,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   12101,RETRIB.COMPLEMENT ESPECIFIC P ,26360,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   12103,RETRIB. ALTRES COMPLEMENTS P.F,2024,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   15000,PRODUCTIVITAT DIN.I PARTIC.JUV,12384,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33404   16000,QUOTES SEGURETAT SOCIAL DIN.I ,22017,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,13540,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,10332,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,16076,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   12006,RETRIB.BASIQ.FUNC.TRIENNIS BAU,8067,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   12099,PAGA EXTRA 2012 FUNC.BAUMANN S,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   12100,RETRIB.COMPL.DESTI.P.FUNCI. BA,17468,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   12101,COMPLEMENT ESPECIFIC P.FUNC.BA,49920,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   12103,ALTRES COMPLEMENTS P.FUNC.BAUM,2872,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   15000,PRODUCTIVITAT BAUMANN SERVEI J,21794,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   3465 33701   16000,QUOTES SEGURERAT SOCIAL BAUMAN,31335,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12000,RETRIB.BASIQ.FUNC.SOUS GRUP A1,31004,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,20876,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,17505,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,8039,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12006,RETRIB.BASIQ.FUNC. TRIENNIS AD,21341,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12099,PAGA EXTRA 2012 FUNC.ADMINISTR,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,41920,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12101,RETR.COMPLEMENT ESPECIFIC P.FU,92863,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   12103,ALTRES COMPLEMENTS FUNC.AD.GRA,32119,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   15000,PRODUCTIVITAT AD.GRAL.CULTURA,39562,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33001   16000,SEGURETAT SOCIAL AD.GRAL.CULTU,54874,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12000,RETRIB.BASIQ.FUNC.SOUS GRUP A1,15456,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,108234,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,144298,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,139581,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,23849,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12006,RETRIB.BASIQ.FUNC. TRIENNIS BI,49503,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12099,PAGA EXTRA 2012 FUNC.BIBLIOTEQ,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,215788,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12101,RETR.COMPLEMENT ESPECIFIC P.FU,323772,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   12103,ALTRES COMPLEMENTS FUNC.BIBL.I,66997,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   13000,RETRIB.BASIQ.PERS.LABORAL FIX ,42185,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   13002,ALTRES REMUNER.PERS.LAB. FIX B,55245,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   13099,PAGA EXTRA 2012 P.LABORAL BIBL,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   15000,PRODUCTIVITAT BIBL.I LECTURA,168662,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33211   16000,SEGURETAT SOCIAL BIBL.I LECTUR,334225,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   12000,RETRIB.BASIQ.FUNC.SOUS GRUP A1,15343,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,10464,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,16080,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   12006,RETRIB.BASIQ.FUNC. TRIENNIS AR,7840,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   12099,PAGA EXTRA 2012 FUNCIONARIS AR,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,21285,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   12101,RETR.COMPLEMENT ESPECIFIC P.FU,37014,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   12103,ALTRES COMPLEMENTS FUNC.ARXIUS,9478,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   15000,PRODUCTIVITAT ARXIUS,17233,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33222   16000,SEGURETAT SOCIAL ARXIUS,31036,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12000,RETRIB.BASIQ.FUNC.SOUS GRUP A1,31117,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,27146,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,10324,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,55983,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12006,RETRIB.BASIQ.FUNC. TRIENNIS MU,24653,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12099,PAGA EXTRA 2012 FUNCIONARIS MU,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,73166,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12101,RETR.COMPLEMENT ESPECIFIC P.FU,89830,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   12103,ALTRES COMPLEMENTS FUNC.MUSEUS,23245,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   13000,RETRIB.BASIQ.PERS.LABORAL FIX ,14436,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   13002,ALTRES REMUNER.PERS.LAB. FIX M,13246,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   13099,PAGA EXTRA 2012 P.LABORAL MUSE,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   15000,PRODUCTIVITAT MUSEUS,46947,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33301   16000,SEGURETAT SOCIAL MUSEUS,99275,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,13533,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,8776,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   12006,RETRIB.BASIQ.FUNC. TRIENNIS MÚ,2233,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   12099,PAGA EXTRA 2012 FUNCIONARIS MÚ,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,14302,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   12101,RETR.COMPLEMENT ESPECIFIC P.FU,18978,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   12103,ALTRES COMPLEMENTS FUNC.MÚSICA,2614,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   15000,PRODUCTIVITAT MÚSICA,8624,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33405   16000,SEGURETAT SOCIAL MÚSICA,19457,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33406   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,13539,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33406   12006,RETRIB.BASIQ.FUNC. TRIENNIS CU,1490,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33406   12099,PAGA EXTRA 2012 FUNCIONARIS CU,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33406   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,8528,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33406   12101,RETR.COMPLEMENT ESPECIFIC P.FU,8314,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33406   15000,PRODUCTIVITAT CUL.DISTRICTES,3832,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33406   16000,SEGURETAT SOCIAL CUL.DISTRICTE,10025,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   12000,RETRIB.BASIQ.FUNC.SOUS GRUP A1,14824,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,17553,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   12006,RETRIB.BASIQ.FUNC. TRIENNIS AR,1278,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   12099,PAGA EXTRA 2012 FUNCIONARIS AR,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,17766,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   12101,RETR.COMPLEMENT ESPECIFIC P.FU,29232,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   12103,ALTRES COMPLEMENTS FUNC.ARTS E,5231,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   13000,RETRIB.BASIQ.PERS.LABORAL FIX ,13097,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   13002,ALTRES REMUNER.PERS.LAB. FIX A,14119,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   13099,PAGA EXTRA 2012 P.LABORAL ARTS,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   15000,PRODUCTIVITAT CUL.ARTS ESCÈNIQ,16881,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33407   16000,SEGURETAT SOCIAL CUL.ARTS ESCÈ,35206,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,13597,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,7979,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   12006,RETRIB.BASIQ.FUNC. TRIENNIS AR,3079,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   12099,PAGA EXTRA 2012 FUNCIONARIS AR,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,8576,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   12101,RETR.COMPLEMENT ESPECIFIC P.FU,18384,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   12103,ALTRES COMPLEMENTS FUNC.ARTS V,9408,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   15000,PRODUCTIVITAT CUL.ARTS VISUALS,8556,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33408   16000,SEGURETAT SOCIAL CUL.ARTS VISU,15964,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,13563,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,17545,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   12006,RETRIB.BASIQ.FUNC. TRIENNIS CU,4488,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   12099,PAGA EXTRA 2012 FUNC. CULTURA ,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,20057,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   12101,RETR.COMPLEMENT ESPECIFIC P.FU,30921,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   12103,ALTRES COMPLEMENTS FUNC.CUL.PO,7138,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   15000,PRODUCTIVITAT CUL.CUL.POP.I TR,13950,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5451 33801   16000,SEGURETAT SOCIAL CUL.CUL.POP.I,25652,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   12004,RETRIB.BASIQ.FUNC.SOUS GRUP C2,8772,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   12005,RETRIB.BASIQ.FUNC.SOUS GRUP E ,8048,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   12006,RETRIB.BASIQ.FUNC. TRIENNIS AD,1444,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   12099,PAGA EXTRA 2012 FUNC.ADMINISTR,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   12100,RETR.COMPLEMENT DESTÍ P.FUNCI ,8594,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   12101,RETR.COMPLEMENT ESPECIFIC P.FU,15660,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   12103,ALTRES COMPLEMENTS FUNC.AD.GRA,2164,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   13000,RETRIB.BASIQ.PERS.LABORAL FIX ,40405,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   13002,ALTRES REMUNER.PERS.LAB. FIX A,45853,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   13099,PAGA EXTRA 2012 P.LABORAL ADM.,0,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   15000,PRODUCTIVITAT AD.GRAL.ESPORTS,20432,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34001   16000,SEGURETAT SOCIAL AD.GRAL.ESPOR,32882,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34101   12001,RETRIB.BASIQ.FUNC.SOUS GRUP A2,13550,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34101   12003,RETRIB.BASIQ.FUNC.SOUS GRUP C1,10396,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34101   12006,RETRIB.BASIQ.FUNC. TRIENNIS AC,3374,
2016,,,3-PRODUCCIÓN DE BIENES PÚBLICO,1-DESPESES DE PERSONAL,16   5452 34101   12099,PAGA EXTRA 2012 FUNC.ACTIV.ESP,0,
